template_interface	ligand_1	ligand_2	cluster_representatives	target_interface
2OJW_A_B	GOL		 2D3C_A_B	2D3C_A_B,2D3C_F_I,2D3B_A_B,2D3C_H_J,2D3A_A_D,2D3A_H_J,2D3B_G_H,2D3B_D_E,2D3B_H_J,2D3C_F_G,2D3C_C_E,2D3C_G_H,2D3A_I_J,2D3B_I_J,2D3B_A_D,2D3A_G_H,2D3A_D_E,2D3A_B_C,2D3B_B_C,2D3C_I_J,2D3C_B_C,2D3A_F_I,2D3A_A_B,2D3C_D_E,2D3B_C_E,2D3A_C_E,2D3B_F_G,2D3C_A_D,2D3B_F_I,2D3A_F_G,4IS4_A_E,4IS4_D_E,4IS4_G_H,4IS4_F_J,4IS4_C_D,4IS4_A_B,4IS4_F_G,4IS4_B_C,4IS4_H_I,4IS4_I_J,2QC8_A_B,2OJW_B_C,2OJW_C_D,2OJW_D_E,2QC8_H_I,2QC8_A_E,2QC8_F_J,2QC8_B_C,2OJW_A_E,2QC8_G_H,2QC8_I_J,2QC8_F_G,2QC8_D_E,2QC8_C_D,2UU7_H_I,2UU7_M_N,2UU7_N_O,2UU7_C_D,2UU7_A_E,2UU7_I_J,2UU7_F_G,2UU7_B_C,2UU7_F_J,2UU7_K_O,2UU7_A_B,2UU7_G_H,2UU7_D_E,2UU7_L_M,2UU7_K_L
2OJW_D_E		GOL	 2D3C_A_B	2D3C_A_B,2D3C_F_I,2D3B_A_B,2D3C_H_J,2D3A_A_D,2D3A_H_J,2D3B_G_H,2D3B_D_E,2D3B_H_J,2D3C_F_G,2D3C_C_E,2D3C_G_H,2D3A_I_J,2D3B_I_J,2D3B_A_D,2D3A_G_H,2D3A_D_E,2D3A_B_C,2D3B_B_C,2D3C_I_J,2D3C_B_C,2D3A_F_I,2D3A_A_B,2D3C_D_E,2D3B_C_E,2D3A_C_E,2D3B_F_G,2D3C_A_D,2D3B_F_I,2D3A_F_G,4IS4_A_E,4IS4_D_E,4IS4_G_H,4IS4_F_J,4IS4_C_D,4IS4_A_B,4IS4_F_G,4IS4_B_C,4IS4_H_I,4IS4_I_J,2QC8_A_B,2OJW_B_C,2OJW_C_D,2QC8_H_I,2OJW_A_B,2QC8_A_E,2QC8_F_J,2QC8_B_C,2OJW_A_E,2QC8_G_H,2QC8_I_J,2QC8_F_G,2QC8_D_E,2QC8_C_D,2UU7_H_I,2UU7_M_N,2UU7_N_O,2UU7_C_D,2UU7_A_E,2UU7_I_J,2UU7_F_G,2UU7_B_C,2UU7_F_J,2UU7_K_O,2UU7_A_B,2UU7_G_H,2UU7_D_E,2UU7_L_M,2UU7_K_L
2OK6_A_B	BEZ	BEZ	 4Y5R_D_F	2BBK_H_J,3SJL_D_F,3L4M_D_F,3RN0_D_F,3ORV_D_F,3RMZ_D_F,2J55_H_J,3RLM_D_F,3L4O_D_F,3PXT_D_F,2GC4_I_M,3RN1_D_F,2GC7_I_M,2J57_G_I,3SVW_D_F,3SWS_D_F,3PXS_D_F,2J56_H_J,2GC4_A_E,3SXT_D_F,2J57_H_J,2GC7_A_E,4Y5R_D_F,3C75_H_J,1MG2_I_M,1MG3_I_M,1MG3_A_E,1MG2_A_E,3SLE_D_F,4L3H_D_F,4FB1_D_F,4K3I_D_F,4FA4_D_F,4FA9_D_F,4L3G_D_F,4FA5_D_F,4FAN_D_F,4O1Q_D_F,3PXW_D_F,4FA1_D_F,4L1Q_D_F,4FAV_D_F,2IUQ_A_B,2OIZ_A_B,2AGW_A_B,2IUP_A_B,2AH0_A_B,2AGX_A_B,2AGY_A_B,2AH1_A_B,2IUR_A_B,2IUV_A_B,2AGZ_A_B,2HJB_A_B,2HJ4_A_B,2I0T_A_B,2HXC_A_B,2AGL_A_B,2OK4_A_B,2I0R_A_B,2I0S_A_B,2H3X_A_D,2IAA_A_D,2H47_A_D,2H47_F_H,2OJY_A_B,2HKM_A_B,2HKR_A_B,2Q7Q_A_B
2OK6_A_D	BEZ		 2H47_A_E	2HKR_B_H,2HKR_A_D,2I0R_A_D,2I0R_B_H,2IUR_B_H,2HXC_B_H,2OK4_A_D,2AGZ_A_D,2HJ4_A_D,2AH1_A_D,2HJB_A_D,2IUV_B_H,2AH0_A_D,2AGL_B_H,2AGL_A_D,2AGX_B_H,2AGY_B_H,2HJ4_B_H,2IUR_A_D,2AGZ_B_H,2OIZ_A_D,2IUP_B_H,2OIZ_B_H,2OK6_B_H,2HXC_A_D,2AGW_B_H,2AH0_B_H,2IUV_A_D,2IUQ_A_D,2IUP_A_D,2AGW_A_D,2AGX_A_D,2AH1_B_H,2OK4_B_H,2IUQ_B_H,2HJB_B_H,2AGY_A_D,2I0S_A_D,2I0S_B_H,2OJY_A_D,2OJY_B_H,2HKM_A_D,2HKM_B_H,2Q7Q_B_H,2Q7Q_A_D,2H47_F_I,2H47_G_H,2IAA_B_D,2IAA_A_E,2H47_B_D,2H3X_A_E,2H47_A_E,2H3X_B_D,2I0T_B_H,2I0T_A_D
2OLD_A_B	IPH	IPH	 3MME_A_B	3TNM_H_L,3TNM_A_B,4YBL_H_L,4YBL_B_C,4YC2_B_C,4YC2_H_L,3MME_C_D,3MME_H_L,3MME_A_B,3MUG_G_H,3MUG_E_F,3MUG_K_L,3MUG_C_D,3MUG_A_B,3MUG_I_J,3LRS_A_B,3LRS_H_L,3LRS_C_D,3LRS_E_F,6UMI_H_L,6UMG_h_l,6UMH_h_l,6UMJ_H_L,6UMG_H_L,6UMH_H_L,6WM9_B_C,6WM9_E_F,6WNO_E_F,6WNO_B_C,1NL0_H_L,3D69_A_B,3D69_H_L,5GKS_C_D,5GKR_A_B,5GKS_A_B,5GKR_C_D,5UBY_H_L,6II4_E_F,6II4_H_L,6PHD_H_L,7JXC_H_L,6MTR_H_L,6MTS_H_L,4RFE_E_F,4RFE_H_L,5FCU_H_L,4RFN_H_L,4RFE_A_B,4RFN_B_C,4RFE_C_D,5GZN_C_D,5GZN_H_L,3MLW_H_L,3MLW_I_M,5ODB_A_B,6FS0_H_L,6QB6_H_L,6QBC_H_L,2OMN_A_B,2OMB_C_D,2OMB_A_B,1LGV_A_B,1JVK_A_B,1LHZ_A_B,6L98_A_B,1LIL_A_B,4BJL_A_B,5MVG_A_B
5ODB_A_B		GOL	 3MME_A_B	3TNM_H_L,3TNM_A_B,4YBL_H_L,4YBL_B_C,4YC2_B_C,4YC2_H_L,3MME_C_D,3MME_H_L,3MME_A_B,3MUG_G_H,3MUG_E_F,3MUG_K_L,3MUG_C_D,3MUG_A_B,3MUG_I_J,3LRS_A_B,3LRS_H_L,3LRS_C_D,3LRS_E_F,6UMI_H_L,6UMG_h_l,6UMH_h_l,6UMJ_H_L,6UMG_H_L,6UMH_H_L,6WM9_B_C,6WM9_E_F,6WNO_E_F,6WNO_B_C,1NL0_H_L,3D69_A_B,3D69_H_L,5GKS_C_D,5GKR_A_B,5GKS_A_B,5GKR_C_D,5UBY_H_L,6II4_E_F,6II4_H_L,6PHD_H_L,7JXC_H_L,6MTR_H_L,6MTS_H_L,4RFE_E_F,4RFE_H_L,5FCU_H_L,4RFN_H_L,4RFE_A_B,4RFN_B_C,4RFE_C_D,5GZN_C_D,5GZN_H_L,3MLW_H_L,3MLW_I_M,6FS0_H_L,6QB6_H_L,6QBC_H_L,2OMN_A_B,2OMB_C_D,2OLD_A_B,2OMB_A_B,1LGV_A_B,1JVK_A_B,1LHZ_A_B,6L98_A_B,1LIL_A_B,4BJL_A_B,5MVG_A_B
2E90_A_B	PPV		 2E90_A_B	2Z4V_A_B,2Z7I_A_B,2E92_A_B,2Z50_A_B,2E94_A_B,2Z7H_A_B,2E8U_A_B,2E8T_A_B,2E91_A_B,2E93_A_B,2E95_A_B,2Z4X_A_B,2DH4_A_B,2Z4Y_A_B,2E8X_A_B,2E8V_A_B,2ZEV_A_B,2Z4W_A_B,2E8W_A_B,2Z4Z_A_B,2Z52_A_B,2Z78_A_B,2ZEU_A_B,6V0K_A_B
2OO4_A_B	GOL	GOL	 2OO4_A_B	5XUW_A_B
2OOC_A_B	GOL		 6GBP_A_E	2GZD_C_D,2ARC_A_B,1XJA_C_D,1XJA_A_B,2AAC_A_B,6GBP_H_L,6GBP_B_F,6GBO_H_L,6GBP_A_E,6GBO_A_E,6GBP_G_K,6GBO_B_F,6GBO_G_K,1IK7_A_B,3G43_E_F,2C5I_P_T,2C5K_P_T
2OOV_A_F	GOL	GOL	 1EKM_B_C	1EKM_B_C,3N9H_A_F,4EV2_B_F,3N9H_B_C,4EV5_D_E,3T0U_B_C,3NBB_D_F,3NBJ_D_E,4KFE_B_C,3SXX_D_E,3NBJ_A_F,3SXX_B_C,4EV2_A_C,4EV5_A_C,3NBJ_B_C,4KFD_A_F,4EV5_B_F,3N9H_D_E,3NBB_B_C,4KFE_D_E,3NBB_A_E,3SXX_A_F,4KFE_A_F,4EV2_D_E,4KFD_D_E,4KFD_B_C,1A2V_B_C,1A2V_D_E,1A2V_A_F,2OQE_B_C,2OOV_B_C,2OQE_A_F,2OOV_D_E,2OQE_D_E,1NU4_A_B,3S7R_A_B
2OOV_B_D	GOL	GOL	 1EKM_A_C	1EKM_A_C,1A2V_D_F,1A2V_A_E,1A2V_A_C,1A2V_C_E,1A2V_B_D,1A2V_B_F,2OQE_B_D,2OOV_D_F,2OQE_B_F,2OOV_A_C,2OQE_A_E,2OQE_D_F,2OOV_B_F,2OOV_C_E,2OOV_A_E,2OQE_C_E,2OQE_A_C,4EV2_A_D,3NBJ_A_E,4KFD_B_F,4KFD_C_E,4KFE_C_E,3NBB_D_E,4EV5_B_E,3N9H_A_C,3SXX_B_F,4EV2_B_C,3NBB_A_C,3NBJ_D_F,3SXX_C_E,4KFE_B_F,3SXX_D_F,3NBB_B_D,4KFE_A_E,3NBJ_B_F,4KFE_D_F,4EV5_C_E,4EV5_A_F,3N9H_C_E,3N9H_D_F,3N9H_A_E,3SXX_A_C,4KFD_D_F,3N9H_B_D,3SXX_A_E,3NBJ_A_C,4KFD_A_E,4KFE_A_C,3NBJ_C_E,4KFD_A_C,4KFE_B_D,4EV2_C_E,3NBJ_B_D,3NBB_B_E,3N9H_B_F,3T0U_A_C,4EV5_A_D,3SXX_B_D,3NBB_C_F,4EV2_B_E,4EV2_A_F,4KFD_B_D,4EV2_D_F,4EV5_D_F,3NBB_A_F,4EV5_B_C
2OPK_A_B	GOL	GOL	 4BIF_A_B	5J7M_A_B,2OPK_C_D,3ES4_A_B,2GU9_A_B,2DCT_A_B,2Q30_C_D,2Q30_E_F,2Q30_A_B,2Q30_G_H,3H8U_A_B,3KGZ_A_B,4BIF_E_F,4BIF_G_H,4BIF_A_B,4BIF_C_D,4UXA_G_H,4UXA_E_F,4UXA_I_J,4UXA_A_B,4UXA_S_T,4UXA_K_L,4UXA_O_P,4UXA_M_N,4UXA_C_D,4UXA_Q_R
2JFA_A_P	RAL	RAL	 3DZU_A_G	3OMQ_B_D,3OLL_A_C,3OLS_A_C,3OLS_B_D,3OLL_B_D,3OMO_A_C,3OMP_B_D,3OMO_B_D,3OMQ_A_C,3OMP_A_C,4J24_C_K,4J24_A_I,4J24_D_L,4J24_B_J,4J26_A_I,4J26_B_J,3D24_A_B,3D24_C_D,6LIT_A_D,6LIT_B_E,5UFS_A_D,5UFS_B_C,6W9M_A_B,2Q3Y_A_B,4LSJ_A_B,4P6W_A_B,1UHL_A_C,7A79_A_C,7A79_B_D,6STI_A_B,3E94_A_B,3KWY_A_B,3FUG_A_B,6JNR_A_C,6JNR_B_D,6L6K_A_B,7A77_A_B,3E00_A_G,3DZU_A_G,3DZY_A_G,3OZJ_A_B,3OZJ_C_D,1XV9_A_E,1XVP_A_E,1XVP_C_G,1XV9_C_G,5Z12_B_I,5Z12_C_F,6A5Y_D_F,6A60_D_F,6A5Z_D_F,6A5Z_I_L,6SJM_A_B,7B88_A_B,5JY3_A_D,5JY3_B_C,6WMS_A_E,6WMS_B_F,6ONI_B_D,6PDZ_A_D,6PDZ_B_C,2JFA_B_Q,4OAR_A_B,2OVH_A_B,2OVM_A_B,5APK_A_D,5APK_B_D,3R2A_D_F,3R29_A_C,3R29_B_D,4WVD_A_C,4WVD_B_D
3E00_A_G	9CR		 3DZU_A_G	3OMQ_B_D,3OLL_A_C,3OLS_A_C,3OLS_B_D,3OLL_B_D,3OMO_A_C,3OMP_B_D,3OMO_B_D,3OMQ_A_C,3OMP_A_C,4J24_C_K,4J24_A_I,4J24_D_L,4J24_B_J,4J26_A_I,4J26_B_J,3D24_A_B,3D24_C_D,6LIT_A_D,6LIT_B_E,5UFS_A_D,5UFS_B_C,6W9M_A_B,2Q3Y_A_B,4LSJ_A_B,4P6W_A_B,1UHL_A_C,7A79_A_C,7A79_B_D,6STI_A_B,3E94_A_B,3KWY_A_B,3FUG_A_B,6JNR_A_C,6JNR_B_D,6L6K_A_B,7A77_A_B,3DZU_A_G,3DZY_A_G,3OZJ_A_B,3OZJ_C_D,1XV9_A_E,1XVP_A_E,1XVP_C_G,1XV9_C_G,5Z12_B_I,5Z12_C_F,6A5Y_D_F,6A60_D_F,6A5Z_D_F,6A5Z_I_L,6SJM_A_B,7B88_A_B,5JY3_A_D,5JY3_B_C,6WMS_A_E,6WMS_B_F,6ONI_B_D,6PDZ_A_D,6PDZ_B_C,2JFA_A_P,2JFA_B_Q,4OAR_A_B,2OVH_A_B,2OVM_A_B,5APK_A_D,5APK_B_D,3R2A_D_F,3R29_A_C,3R29_B_D,4WVD_A_C,4WVD_B_D
2EAA_A_B	CIT		 6L4C_A_B	5E1R_A_C,5E1R_E_F,5E1R_D_F,5E1R_D_E,5E1R_A_B,5E1R_B_C,6L4C_A_C,6L4C_A_B,6L4C_B_C,1CAX_A_D,1CAX_C_F,1CAX_B_E,2PHL_B_C,2PHL_A_B,2PHL_A_C,3SMH_E_F,3SMH_A_D,3SMH_B_E,3SMH_C_D,3SMH_A_C,3SMH_B_F,6V7J_B_C,6V7L_B_C,6V7J_A_B,6V7L_A_B,6V7L_A_C,6V7J_A_C,2EA7_A_C,2EA7_B_C,2EA7_A_B,2EAA_B_C,2EAA_A_C,1IPK_B_C,1UIJ_D_E,1IPK_A_B,1UIJ_D_F,1IPJ_A_B,1UIJ_B_C,1IPK_A_C,1IPJ_A_C,1UIJ_E_F,1UIJ_A_B,1UIJ_A_C,1IPJ_B_C,1UIK_A_C,1UIK_A_B,1UIK_B_C
2ORD_A_B	GOL	GOL	 2BYJ_A_B	1OHY_C_D,1OHW_A_B,1OHW_C_D,1OHV_A_B,1OHY_A_B,1OHV_C_D,6B6G_A_B,6B6G_C_D,4Y0H_A_B,4Y0D_A_B,4Y0H_C_D,4Y0D_C_D,4Y0I_C_D,4ZSY_A_B,4ZSW_A_B,4Y0I_A_B,4ZSW_C_D,4ZSY_C_D,5DDW_C_D,6JCA_A_B,5DDW_A_B,5DDU_C_D,6JCB_C_D,5DDS_C_D,6JCB_A_B,6JC8_A_B,6JC8_C_D,6JC9_A_B,5DDU_A_B,6JC7_A_B,6JC7_C_D,6JC9_C_D,5DDS_A_B,6J2V_A_B,6J2V_C_D,4ATQ_I_L,4ATP_J_K,4ATQ_G_H,4ATQ_C_D,4ATP_A_B,4ATP_E_F,4ATP_G_H,4ATQ_E_F,4ATQ_J_K,4ATQ_A_B,4ATP_I_L,4ATP_C_D,4FFC_C_D,4FFC_A_B,3Q8N_B_D,3Q8N_A_C,3OKS_A_B,3OKS_C_D,1SZK_A_B,1SF2_C_D,1SZU_A_B,1SF2_A_B,1SFF_A_B,1SZU_C_D,1SZS_A_B,1SZK_C_D,1SFF_C_D,1SZS_C_D,6WOP_A_B,7JH3_B_C,7JH3_A_F,7JH3_D_E,6WJ8_A_B,6WJ8_C_D,5WYF_C_D,5WYF_A_B,4YSN_C_D,4YSN_A_B,5WYA_A_B,5WYA_C_D,3RUY_A_B,1GBN_A_B,2CAN_A_B,2BYJ_A_B,2OAT_A_B,1OAT_A_B,2BYL_A_B,6V8D_A_B,6OIA_A_B,5VWO_A_B,2EH6_A_B,1WKG_A_B,1VEF_A_B,1WKH_A_B,4ADB_A_B,4ADB_C_D,4ADD_A_B,4ADC_A_B,4ADD_C_D,4ADC_C_D,6RL5_C_D,6RL5_G_H,6RL5_E_F,6RL5_A_B,4NOG_A_B,5DJ9_A_B,5EQC_A_B,5E5I_A_B,4ZWM_A_B,4ZLV_A_B,5E3K_A_B,5EAV_A_B
5WYA_C_D	DMS	DMS	 2BYJ_A_B	1OHY_C_D,1OHW_A_B,1OHW_C_D,1OHV_A_B,1OHY_A_B,1OHV_C_D,6B6G_A_B,6B6G_C_D,4Y0H_A_B,4Y0D_A_B,4Y0H_C_D,4Y0D_C_D,4Y0I_C_D,4ZSY_A_B,4ZSW_A_B,4Y0I_A_B,4ZSW_C_D,4ZSY_C_D,5DDW_C_D,6JCA_A_B,5DDW_A_B,5DDU_C_D,6JCB_C_D,5DDS_C_D,6JCB_A_B,6JC8_A_B,6JC8_C_D,6JC9_A_B,5DDU_A_B,6JC7_A_B,6JC7_C_D,6JC9_C_D,5DDS_A_B,6J2V_A_B,6J2V_C_D,4ATQ_I_L,4ATP_J_K,4ATQ_G_H,4ATQ_C_D,4ATP_A_B,4ATP_E_F,4ATP_G_H,4ATQ_E_F,4ATQ_J_K,4ATQ_A_B,4ATP_I_L,4ATP_C_D,4FFC_C_D,4FFC_A_B,3Q8N_B_D,3Q8N_A_C,3OKS_A_B,3OKS_C_D,1SZK_A_B,1SF2_C_D,1SZU_A_B,1SF2_A_B,1SFF_A_B,1SZU_C_D,1SZS_A_B,1SZK_C_D,1SFF_C_D,1SZS_C_D,6WOP_A_B,7JH3_B_C,7JH3_A_F,7JH3_D_E,6WJ8_A_B,6WJ8_C_D,5WYF_C_D,5WYF_A_B,4YSN_C_D,4YSN_A_B,5WYA_A_B,3RUY_A_B,1GBN_A_B,2CAN_A_B,2BYJ_A_B,2OAT_A_B,1OAT_A_B,2BYL_A_B,6V8D_A_B,6OIA_A_B,5VWO_A_B,2EH6_A_B,2ORD_A_B,1WKG_A_B,1VEF_A_B,1WKH_A_B,4ADB_A_B,4ADB_C_D,4ADD_A_B,4ADC_A_B,4ADD_C_D,4ADC_C_D,6RL5_C_D,6RL5_G_H,6RL5_E_F,6RL5_A_B,4NOG_A_B,5DJ9_A_B,5EQC_A_B,5E5I_A_B,4ZWM_A_B,4ZLV_A_B,5E3K_A_B,5EAV_A_B
2OW9_A_B	SP6		 1YOU_A_B	3KEC_A_B,3KRY_A_D,2OZR_C_E,2OZR_D_F,4A7B_A_B,830C_A_B,1YOU_A_B,4JP4_A_B,5BOT_A_B,3WV3_A_B,3WV2_A_B,3WV1_A_B,5BPA_A_B,3ELM_A_B,1XUD_A_B,3ZXH_A_B,1XUC_A_B,2YIG_A_B,5BOY_A_B,3I7G_A_B,3I7I_A_B,1XUR_A_B,4L19_A_B,4JPA_A_B,5B5O_A_B,5B5P_A_B
3ZXH_A_B	GOL	GOL	 1YOU_A_B	3KEC_A_B,3KRY_A_D,2OZR_C_E,2OW9_A_B,2OZR_D_F,4A7B_A_B,830C_A_B,1YOU_A_B,4JP4_A_B,5BOT_A_B,3WV3_A_B,3WV2_A_B,3WV1_A_B,5BPA_A_B,3ELM_A_B,1XUD_A_B,1XUC_A_B,2YIG_A_B,5BOY_A_B,3I7G_A_B,3I7I_A_B,1XUR_A_B,4L19_A_B,4JPA_A_B,5B5O_A_B,5B5P_A_B
2OWQ_A_B		GOL	 2OWQ_A_B	5JX8_A_B,5L7K_A_G
5JX8_A_B	GOL		 2OWQ_A_B	2OWQ_A_B,5L7K_A_G
2OWN_A_B	GOL		 5X04_A_B	5X04_A_B
2EEO_A_B	FUM	FUM	 6OYY_A_B	2HKN_A_B,2HL3_A_B,3TM7_A_B,3TM7_C_D,4D7Z_A_B,1AW8_D_E,1AW8_A_B,4AON_D_E,5LS7_A_D,1PYU_C_D,1PYU_A_B,4AON_A_B,6RXH_A_B,4CRY_A_G,6RXH_D_E,4AOK_D_E,4AOK_A_B,6OZ8_I_J,6P02_C_D,6P02_Q_R,6P02_K_L,6OYY_I_J,6P02_S_T,6OYY_C_D,6P02_O_P,6OZ8_G_H,6OZ8_C_D,6P02_M_N,6P02_I_J,6OYY_E_F,6P02_W_X,6P02_A_B,6OYY_K_L,6OZ8_E_F,6OYY_G_H,6P02_E_F,6OZ8_K_L,6OYY_A_B,6P02_U_V,6P02_G_H,6P1Y_A_B,6OZ8_A_B,1VC3_A_B,3PLX_A_B,1UHD_A_B,1UHE_A_B
5LS7_A_D		GOL	 6OYY_A_B	2HKN_A_B,2HL3_A_B,3TM7_A_B,3TM7_C_D,4D7Z_A_B,1AW8_D_E,1AW8_A_B,4AON_D_E,1PYU_C_D,1PYU_A_B,4AON_A_B,6RXH_A_B,4CRY_A_G,6RXH_D_E,4AOK_D_E,4AOK_A_B,6OZ8_I_J,6P02_C_D,6P02_Q_R,6P02_K_L,6OYY_I_J,6P02_S_T,6OYY_C_D,6P02_O_P,6OZ8_G_H,6OZ8_C_D,6P02_M_N,6P02_I_J,6OYY_E_F,6P02_W_X,6P02_A_B,6OYY_K_L,6OZ8_E_F,6OYY_G_H,6P02_E_F,6OZ8_K_L,6OYY_A_B,6P02_U_V,6P02_G_H,6P1Y_A_B,6OZ8_A_B,1VC3_A_B,2EEO_A_B,3PLX_A_B,1UHD_A_B,1UHE_A_B
2OX1_A_B	GOL		 2P62_A_B	2OX1_C_D,2P62_A_B
2OX4_A_B	GOL	GOL	 2QQ6_A_B	2QQ6_A_B,3H12_A_B,3OP2_A_B,3OZM_A_G,3OZM_D_F,3OZM_C_E,3OZY_A_B,3OZM_B_H,3BJS_A_B,3DIP_A_B,2PP1_A_B,4H19_E_H,4H19_C_M,4H19_A_D,4H19_I_L,4H19_J_N,4H19_F_K,4H19_O_P,4H19_B_G,3CK5_A_B,3CK5_C_D,2OVL_C_D,2OVL_A_B,5XD8_A_B,3RR1_A_B,3RRA_A_B,2O56_C_G,2O56_F_H,2O56_D_E,2O56_A_B,2OX4_F_H,2OX4_D_E,2OX4_C_G
2OX4_B_G		GOL	 2O56_A_C	4E6M_D_H,4E6M_C_G,4E6M_D_F,4E6M_A_G,4E6M_A_E,4E6M_C_E,4E6M_B_H,4E6M_B_F,2O56_E_H,2O56_B_G,2O56_B_H,2O56_C_D,2O56_A_F,2O56_A_C,2O56_D_F,2O56_E_G,2OX4_A_C,2OX4_A_F,2OX4_E_G,2OX4_C_D,2OX4_B_H,2OX4_E_H,2OX4_D_F
2OZ3_A_B	GOL		 2P0I_A_C	2OZ3_F_G,2OZ3_C_D,3D46_D_F,3D47_B_G,3D46_C_H,3D47_D_F,3D46_A_E,3D46_B_G,3D47_C_H,3D47_A_E,2P0I_D_G,2P0I_B_E,2P0I_F_H,2P0I_A_C,3FXG_D_G,3FXG_B_E,3FXG_A_C,3FXG_F_H
2OZR_C_D		HAE	 6YFG_AB_BI	2OZR_A_B,6YFG_JH_JN,6YFG_DB_GK,6YFG_DT_GQ,6YFG_IG_IM,6YFG_LJ_LP,6YFG_AT_FA,6YFG_BF_BL,6YFG_EX_FJ,6YFG_CJ_GH,6YFG_BR_EC,6YFG_GZ_MW,6YFG_HF_NC,6YFG_BO_DZ,6YFG_LA_MZ,6YFG_HR_LY,6YFG_LV_MH,6YFG_JE_JK,6YFG_AT_EL,6YFG_HO_IS,6YFG_HC_MZ,6YFG_CV_GN,6YFG_AW_FD,6YFG_LG_LM,6YFG_JH_NF,6YFG_CG_GN,6YFG_JW_KI,6YFG_GY_IH,6YFG_HX_LV,6YFG_JB_NI,6YFG_BL_DW,6YFG_LD_LS,6YFG_AH_GE,6YFG_HC_IA,6YFG_AQ_FV,6YFG_MQ_NO,6YFG_FA_FM,6YFG_EC_GB,6YFG_JN_KI,6YFG_CJ_CP,6YFG_IJ_KU,6YFG_AN_FS,6YFG_HL_IY,6YFG_JB_JQ,6YFG_CP_DK,6YFG_IY_KR,6YFG_IM_KX,6YFG_JT_KF,6YFG_JQ_KC,6YFG_HU_LD,6YFG_FV_GT,6YFG_AQ_BU,6YFG_CV_DH,6YFG_BI_BO,6YFG_DW_GE,6YFG_JW_NF,6YFG_AH_BF,6YFG_MC_MD,6YFG_AE_BC,6YFG_HI_IV,6YFG_JE_NL,6YFG_LY_MK,6YFG_LS_ME,6YFG_MN_NU,6YFG_CG_CM,6YFG_FS_GQ,6YFG_JK_KF,6YFG_IV_KO,6YFG_DZ_FY,6YFG_HF_ID,6YFG_CM_DH,6YFG_AB_BI,6YFG_MB_ME,6YFG_CA_DT,6YFG_HG_NB,6YFG_EI_EO,6YFG_KU_NC,6YFG_AZ_EI,6YFG_KO_NU,6YFG_ID_IJ,6YFG_CD_CS,6YFG_BU_DN,6YFG_FB_FL,6YFG_BC_BR,6YFG_LP_MK,6YFG_GZ_IG,6YFG_FD_FG,6YFG_DS_GR,6YFG_IS_KL,6YFG_CY_DK,6YFG_JZ_NI,6YFG_AK_FP,6YFG_IA_IP,6YFG_FP_GW,6YFG_EU_FG,6YFG_KL_NR,6YFG_CD_GK,6YFG_DN_GT,6YFG_KR_NO,6YFG_KX_MW,6YFG_HI_MN,6YFG_IP_LA,6YFG_DB_DE,6YFG_MT_NR,6YFG_HR_LJ,6YFG_IU_KP,6YFG_AK_BX,6YFG_ER_FM,6YFG_CW_GM,6YFG_AZ_EX,6YFG_HN_IT,6YFG_AN_CA,6YFG_LM_MH,6YFG_HL_MQ,6YFG_EL_ER,6YFG_AE_GB,6YFG_DQ_GW,6YFG_HX_LG,6YFG_II_KV,6YFG_AB_FY,6YFG_EF_EU,6YFG_AW_EF,6YFG_CS_DE,6YFG_JZ_KC,6YFG_CY_GH,6YFG_HU_MB,6YFG_HO_MT,6YFG_EO_FJ,6YFG_JT_NL,6YFG_CH_CL,6YFG_BX_DQ,6YFG_DV_GF
2P0I_B_C		GOL	 2P0I_A_D	2P0I_E_H,2P0I_C_G,2P0I_D_H,2P0I_A_E,2P0I_F_G,2P0I_A_D,2P0I_B_F,3FXG_B_C,3FXG_D_H,3FXG_B_F,3FXG_F_G,3FXG_E_H,3FXG_A_E,3FXG_C_G,3FXG_A_D
2P10_A_B	GOL	GOL	 2P10_A_B	2P10_C_D,2P10_E_F,4ML9_A_B,3B8I_A_B,3B8I_E_F,3B8I_C_D,4LSB_A_B
4ML9_A_B	EDO	EDO	 2P10_A_B	2P10_C_D,2P10_E_F,2P10_A_B,3B8I_A_B,3B8I_E_F,3B8I_C_D,4LSB_A_B
2P10_A_F	GOL	GOL	 5ZKG_A_B	6IPA_A_B,5ZKG_A_B,6IPA_C_D
2P0U_A_B	GOL	GOL	 5WX5_A_B	2D52_A_B,2D3M_A_B,2D51_A_B,3OV2_C_D,3OV3_C_D,3OV2_A_B,3OV3_A_B,3WD8_A_B,3WD8_C_D,5WX4_B_C,5WX5_C_D,5WX5_E_F,5WX5_A_B,3WD7_A_B,6DXA_A_B,6DX7_A_B,6DX7_E_F
2P11_A_B	GOL	GOL	 3V5J_A_B	3MIY_A_B,4PP9_A_B,4MF1_A_B,3V8W_A_B,3V5J_A_B,3V8T_A_B,4L7S_A_B
3MIY_A_B	B49		 3V5J_A_B	2P11_A_B,4PP9_A_B,4MF1_A_B,3V8W_A_B,3V5J_A_B,3V8T_A_B,4L7S_A_B
2UVP_A_B		GOL	 2WP0_A_B	2UVP_C_D,2WP0_A_B
2UVO_A_B	GOL	GOL	 2X3T_A_B	1K7T_A_B,1K7V_A_B,1WGT_A_B,1K7U_A_B,2UVO_E_F,2X3T_C_D,2CWG_A_B,4AML_A_B,2X3T_A_B,2X52_A_B
2P4R_A_T	GOL		 2P4R_A_T	2KXC_A_B,2LNH_B_C,5SXP_B_F,5SXP_C_G
